sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2024 23:29:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +wr_data_fifo:efx_fifo_top_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",DEPTH=256,DATA_WIDTH=148,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",ASYM_WIDTH_RATIO=2)	      61(4)	      18(0)	      18(0)	      52(1)	     0(0)	     9(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_4443cdd14915431b8db74095d4c71f59(FAMILY="TITANIUM",WR_DEPTH=256,RD_DEPTH=1024,WDATA_WIDTH=148,RDATA_WIDTH=37,WADDR_WIDTH=8,RADDR_WIDTH=10,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       5(5)	     0(0)	     9(9)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_4443cdd14915431b8db74095d4c71f59_renamed_due_excessive_length_3	     57(57)	      18(0)	     18(18)	     46(14)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_4443cdd14915431b8db74095d4c71f59(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_4443cdd14915431b8db74095d4c71f59(STAGE=2,WIDTH=11)	       0(0)	       9(9)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_4443cdd14915431b8db74095d4c71f59(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
