sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2024 23:29:17

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
    +genblk3[1].rx_dword_align_inst:dphy_rx_dword_align_08e4b9bf88be4839a02b179f96656547	     81(81)	       0(0)	       0(0)	     95(95)	     0(0)	     0(0)	     0(0)	
    +genblk3[2].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_08e4b9bf88be4839a02b179f96656547(CLOCK_FREQ_MHZ=50)	     33(33)	       0(0)	     12(12)	     90(90)	     0(0)	     0(0)	     0(0)	
    +genblk3[2].rx_dword_align_inst:dphy_rx_dword_align_08e4b9bf88be4839a02b179f96656547	     81(81)	       0(0)	       0(0)	     97(97)	     0(0)	     0(0)	     0(0)	
    +genblk3[3].rx_dlane_fsm_inst:dphy_rx_dlane_fsm_08e4b9bf88be4839a02b179f96656547(CLOCK_FREQ_MHZ=50)	     33(33)	       0(0)	     12(12)	     91(91)	     0(0)	     0(0)	     0(0)	
    +genblk3[3].rx_dword_align_inst:dphy_rx_dword_align_08e4b9bf88be4839a02b179f96656547	     81(81)	       0(0)	       0(0)	     96(96)	     0(0)	     0(0)	     0(0)	
   +csi2_rx_top_inst:efx_csi2_rx_top_08e4b9bf88be4839a02b179f96656547(HS_DATA_WIDTH=8,tINIT_NS=1000,CLOCK_FREQ_MHZ=50,PACK_TYPE=15,ENABLE_VCX=1'b0)	    751(27)	      24(0)	    159(17)	   1728(12)	     0(0)	    17(0)	     0(0)	
    +syncreg_1:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
    +syncreg_2:efx_asyncreg_08e4b9bf88be4839a02b179f96656547	       8(8)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +depacketizer_inst:efx_csi2_depacketizer_08e4b9bf88be4839a02b179f96656547(ENABLE_VCX=1'b0,NUM_DATA_LANE=4)	   165(140)	       0(0)	       0(0)	   294(224)	     0(0)	     0(0)	     0(0)	
     +genblk4.ecc_check_inst:efx_csi2_ecc_check_08e4b9bf88be4839a02b179f96656547	     25(25)	       0(0)	       0(0)	     70(70)	     0(0)	     0(0)	     0(0)	
    +genblk2.lane_aligner_inst:efx_csi2_lane_aligner_08e4b9bf88be4839a02b179f96656547	      76(4)	       0(0)	      28(0)	      92(4)	     0(0)	     4(0)	     0(0)	
     +genblk1[0].u1_inst:efx_fifo_top_08e4b9bf88be4839a02b179f96656547_renamed_due_excessive_length_8	      18(2)	       0(0)	       7(0)	      25(0)	     0(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0)	     16(16)	       0(0)	       7(7)	     25(25)	     0(0)	     0(0)	     0(0)	
     +genblk1[1].u1_inst:efx_fifo_top_08e4b9bf88be4839a02b179f96656547_renamed_due_excessive_length_8	      18(2)	       0(0)	       7(0)	      21(0)	     0(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0)	     16(16)	       0(0)	       7(7)	     21(21)	     0(0)	     0(0)	     0(0)	
     +genblk1[2].u1_inst:efx_fifo_top_08e4b9bf88be4839a02b179f96656547_renamed_due_excessive_length_8	      18(2)	       0(0)	       7(0)	      21(0)	     0(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0)	     16(16)	       0(0)	       7(7)	     21(21)	     0(0)	     0(0)	     0(0)	
     +genblk1[3].u1_inst:efx_fifo_top_08e4b9bf88be4839a02b179f96656547_renamed_due_excessive_length_8	      18(2)	       0(0)	       7(0)	      21(0)	     0(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=16,RD_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=16,PROG_FULL_NEGATE=16,HANDSHAKE_FLAG=0)	     16(16)	       0(0)	       7(7)	     21(21)	     0(0)	     0(0)	     0(0)	
    +genblk3.byte2pixel_inst:efx_csi2_byte2pixel_08e4b9bf88be4839a02b179f96656547(PIXEL_FIFO_DEPTH=2048,ENABLE_VCX=1'b0,PACK_TYPE=15)	    473(43)	      24(0)	    114(65)	  1326(222)	     0(0)	    13(0)	     0(0)	
     +syncreg_0:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_1:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_2:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_3:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_4:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_5:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_6:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_7:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_8:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_9:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_10:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_11:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_12:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_13:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_14:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_15:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_16:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_17:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_18:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_20:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=2)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_23:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=16)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_24:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_25:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +syncreg_26:efx_asyncreg_08e4b9bf88be4839a02b179f96656547(WIDTH=1)	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk2.depack40bit_inst:efx_csi2_depack40bit_08e4b9bf88be4839a02b179f96656547	     51(51)	       0(0)	       0(0)	   169(169)	     0(0)	     0(0)	     0(0)	
     +genblk3.depack48bit_inst:efx_csi2_depack48bit_08e4b9bf88be4839a02b179f96656547	     77(77)	       0(0)	       0(0)	   213(213)	     0(0)	     0(0)	     0(0)	
     +genblk4.depack56bit_inst:efx_csi2_depack56bit_08e4b9bf88be4839a02b179f96656547	     97(97)	       0(0)	       0(0)	   407(407)	     0(0)	     0(0)	     0(0)	
     +genblk5.depack64bit_inst:efx_csi2_depack64bit_08e4b9bf88be4839a02b179f96656547	     65(65)	       0(0)	       0(0)	   126(126)	     0(0)	     0(0)	     0(0)	
     +u1_inst:efx_fifo_top_08e4b9bf88be4839a02b179f96656547_renamed_due_excessive_length_9	      90(4)	      24(0)	      49(0)	     189(0)	     0(0)	    13(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_08e4b9bf88be4839a02b179f96656547(MODE="FWFT",WR_DEPTH=2048,RD_DEPTH=2048,WDATA_WIDTH=64,RDATA_WIDTH=64,WADDR_WIDTH=11,RADDR_WIDTH=11,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	   113(113)	     0(0)	   13(13)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_08e4b9bf88be4839a02b179f96656547_renamed_due_excessive_length_10	     86(86)	      24(0)	     49(49)	     76(32)	     0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_08e4b9bf88be4839a02b179f96656547(WIDTH=12)	       0(0)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_08e4b9bf88be4839a02b179f96656547(STAGE=2,WIDTH=12)	       0(0)	     12(12)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=12)	       0(0)	       0(0)	       0(0)	      11(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_08e4b9bf88be4839a02b179f96656547(WIDTH=12)	       0(0)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_addr_sync:efx_fifo_datasync_08e4b9bf88be4839a02b179f96656547(STAGE=2,WIDTH=12)	       0(0)	     12(12)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=12)	       0(0)	       0(0)	       0(0)	      11(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_08e4b9bf88be4839a02b179f96656547(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_axi4_ctrl:axi4_ctrl(C_ID_LEN=4,C_RD_END_ADDR=921600,C_W_WIDTH=64,C_R_WIDTH=8)	   424(274)	      40(0)	      90(8)	   458(339)	     0(0)	    14(0)	     0(0)	
  +u_W0_FIFO_128:W0_FIFO_128                                	      75(0)	      20(0)	      41(0)	      61(0)	     0(0)	     7(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_6c361ae932ce4ba6af60217385ca7d0a_renamed_due_excessive_length_11	      75(4)	      20(0)	      41(0)	      61(0)	     0(0)	     7(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_6c361ae932ce4ba6af60217385ca7d0a(FAMILY="TITANIUM",MODE="FWFT",WDATA_WIDTH=128,RDATA_WIDTH=128,OUTPUT_REG=0,RAM_MUX_RATIO=1,ENDIANESS=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     7(7)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_6c361ae932ce4ba6af60217385ca7d0a_renamed_due_excessive_length_12	     71(71)	      20(0)	     41(41)	     61(25)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_6c361ae932ce4ba6af60217385ca7d0a(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_6c361ae932ce4ba6af60217385ca7d0a(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +u_R0_FIFO_128:W0_FIFO_128                                	      75(0)	      20(0)	      41(0)	      58(0)	     0(0)	     7(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_6c361ae932ce4ba6af60217385ca7d0a_renamed_due_excessive_length_11	      75(4)	      20(0)	      41(0)	      58(0)	     0(0)	     7(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_6c361ae932ce4ba6af60217385ca7d0a(FAMILY="TITANIUM",MODE="FWFT",WDATA_WIDTH=128,RDATA_WIDTH=128,OUTPUT_REG=0,RAM_MUX_RATIO=1,ENDIANESS=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     7(7)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_6c361ae932ce4ba6af60217385ca7d0a_renamed_due_excessive_length_12	     71(71)	      20(0)	     41(41)	     58(22)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_6c361ae932ce4ba6af60217385ca7d0a(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_6c361ae932ce4ba6af60217385ca7d0a(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6c361ae932ce4ba6af60217385ca7d0a(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
